UTC,Open,High,Low,Close,Volume
27.01.2025 21:21:00.000 UTC,2743.065,2743.195,2743.008,2743.195,0.00388
27.01.2025 21:22:00.000 UTC,2743.145,2743.305,2743.118,2743.295,0.00276
27.01.2025 21:23:00.000 UTC,2743.245,2743.375,2743.145,2743.145,0.0074
27.01.2025 21:24:00.000 UTC,2743.145,2743.335,2743.128,2743.335,0.00232
27.01.2025 21:25:00.000 UTC,2743.365,2743.395,2743.315,2743.335,0.0022
27.01.2025 21:26:00.000 UTC,2743.345,2743.365,2743.208,2743.295,0.0025
27.01.2025 21:27:00.000 UTC,2743.315,2743.745,2743.315,2743.645,0.01008
27.01.2025 21:28:00.000 UTC,2743.695,2743.755,2743.585,2743.695,0.00572
27.01.2025 21:29:00.000 UTC,2743.725,2743.725,2742.838,2743.038,0.00959
27.01.2025 21:30:00.000 UTC,2743.038,2743.245,2742.908,2743.095,0.00561
27.01.2025 21:31:00.000 UTC,2743.045,2743.555,2743.045,2743.495,0.01104
27.01.2025 21:32:00.000 UTC,2743.505,2743.685,2743.395,2743.495,0.00878
27.01.2025 21:33:00.000 UTC,2743.475,2743.855,2742.925,2743.105,0.0124
27.01.2025 21:34:00.000 UTC,2743.065,2743.155,2742.805,2743.105,0.01083
27.01.2025 21:35:00.000 UTC,2743.105,2743.105,2742.035,2742.235,0.01983
27.01.2025 21:36:00.000 UTC,2742.235,2742.505,2742.215,2742.495,0.00528
27.01.2025 21:37:00.000 UTC,2742.468,2742.585,2742.438,2742.538,0.00648
27.01.2025 21:38:00.000 UTC,2742.538,2742.585,2742.135,2742.205,0.00697
